song_number,title,default_key,sections_count,source_file,parser_notes,lyrics_preview
001,Am fost născut în păcat,,4,001 Am fost nascut in pacat.pptx,Unele sectiuni par repetate; verifica daca refrenul trebuie pastrat o singura data sau in structura completa.,"Am fost născut în păcat / Dar Isus pentru mine s-a dat, / Viaţa mea de-acum e-n mâna Sa. / Şi până îl voi vedea, / Am nevoie de lumina Sa / Căci ce-a făcut nicicând nu voi uita. /  / Condu-mă, Doamne, ziua, / Condu-mă, e ruga mea, / Prin toate necazurile acestei lumi. / Condu-mă, Doamne, noaptea, / Condu-mă, prin lumina Ta, / Căci numai Tu poţi conduce viaţa mea. /  / Dumnezeu ne iubeşte mereu, / Pentru noi a dat singurul Fiu, / Ca noi să fim salvaţi azi de păcat. / Deci vino cu inima ta, / De păcat El o va spăla / Şi de-azi vei fi "
001b,"Doamne, binecuvântă!",,6,"001b.Doamne, binecuvanta.pptx",Unele sectiuni par repetate; verifica daca refrenul trebuie pastrat o singura data sau in structura completa.,"Doamne, binecuvântă! / Doamne, binecuvântă! / Doamne, binecuvântă / Acest micuţ copilaş! /  / Şi mâna Ta ocrotitoare / Să fie-asupra lui mereu, / /: Dă-i sănătate şi fericire / Şi fă-l s-ajungă copilul Tău.:/ /  / Creşte-l clipă de clipă, / Creşte-l prin Duhul Tău Sfânt, / Poartă-l pe-a Ta aripă / Cât va trăi pe pământ. /  / Şi mâna Ta ocrotitoare / Să fie-asupra lui mereu, / /: Dă-i sănătate şi fericire / Şi fă-l s-ajungă copilul Tău.:/ /  / Doamne, revarsă-Ţi mila / Peste odrasla-aceasta; / Dă binecuvântare / Şi ţine-o-n dragostea Ta. /  / Şi"
002,Când furtuni în viaţă-mi vin,,4,002 Cand furtuni in viata-mi vin.pptx,,"Când furtuni în viaţă-mi vin / Pe acest pământ străin, / Doamne bun, întinde-Ţi mâna-asupra mea! / Pe genunchi, în rugă-ţi cer / Să-mi ajuţi Tu către cer, / Doamne bun, întinde-Ţi mâna-asupra mea! /  / Când drumul vieţii e greu / Iar crucea îmi pare grea, / Atunci cu gândul la Calvar / Eu las povara mea. / Diavolul în orice zi / De necaz nu m-ar scuti, / Doamne bun, întinde-Ţi mâna-asupra mea! /  / Când duşmani în cale-mi stau / Pe Isus drept scut îl iau, / Doamne bun, întinde-Ţi mâna-asupra mea! / Doamne, Ţie mă predau / Şi-a mea i"
003,El este domn si domneste in ceruri,,6,003 El este domn si domneste in ceruri.pptx,Unele sectiuni par repetate; verifica daca refrenul trebuie pastrat o singura data sau in structura completa.,"1. EI este Domn şi domneşte în ceruri 003 / /: EI este Domn şi domneşte în ceruri / El este Domn. / Întunericului i-a zis: „Să fii Lumină!” / El este Domn.:/ /  / R. EI este Domn şi domneşte în ceruri 003 / Arată-Ţi puterea, o Domnul meu! / Arată-Ţi puterea, o Domnul meu! / O, Domnul meu! /  / 2. EI este Domn şi domneşte în ceruri 003 / Cine-i ca El? N-are sfârşit la zile, / El este Domn. / Prin a Sa-ndurare avem mântuire, / El este Domn. /  / R. EI este Domn şi domneşte în ceruri 003 / Arată-Ţi puterea, o Domnul meu! / Arată-Ţi put"
004,Iata-ma naintea Ta,,5,004 Iata-ma naintea Ta.pptx,,"R. lată-mă 'naintea Ta 004 / /: lată-mă 'naintea Ta / Mâini spre cer ridicând curate, / lată-mă dându-Ţi slavă / Pentru lucrările-Ţi toate.:/ /  / 1. lată-mă 'naintea Ta 004 / N-am crezut vreodată / Să fie-aşa frumos. / N-am crezut vreodată / Că-Ţi pot fi de folos. / Dar m-ai găsit, Te-ai dat pentru al meu păcat / Şi m-ai primit cu dragoste ca pe un fiu iertat. /  / R. lată-mă 'naintea Ta 004 / lată-mă 'naintea Ta / Mâini spre cer ridicând curate, / lată-mă dându-Ţi slavă / Pentru lucrările-Ţi toate. /  / 2. lată-mă 'naintea Ta 004 / N-"
005,"Al meu Domn, Părinte",,4,"005 Al meu Domn, Parinte.pptx",,"Al meu Domn, Părinte, nimeni ca Tine nu e, / Cât voi trăi Îţi voi slăvi / Lucrarea mâinilor Tale. / Refugiu, scăpare în braţul Tău eu găsesc, / Prin gura mea, cu tot ce am, / Totdeauna laudă-Ţi voi da. /  / Strig către Tine, o, Doamne, Te caut, / Tu eşti împăratul, puterea Ţi-o laud, / Munţii se pleacă şi mările tac / Când rostim Numele Tău. / Tot ce-ai creat în splendoare azi stă, / Eu veşnic mă-nchin şi îţi dau laudă, / Prin Tine exist şi prin harul Tău sfânt, EU SUNT. /  / Al meu Domn, Părinte, nimeni ca Tine nu e, / Cât vo"
006,"Doamne, azi eu vin",,5,"006 Doamne, azi eu vin.pptx",Unele sectiuni par repetate; verifica daca refrenul trebuie pastrat o singura data sau in structura completa.,"Doamne, azi eu vin / În faţa Ta să mă închin / Şi să fiu umplut de har divin. / Prin iubirea Ta aş vrea mai mult / Să îmi cunosc slăbiciunile / Şi să cresc în iubirea Ta. /  / Cheamă-mă şi voi veni la Tine, / Când sunt slab Tu mă întăreşti. / Ca vulturul spre cer mă voi înălţa / Şi veşnic voi trăi, mereu voi locui / Prin iubirea Ta. /  / Doamne, vreau să fiu / În stare să-nţeleg cum eşti / Şi care-i calea Ta, să merg pe ea. / Şi din pacea Ta, în suflet să-mi reverşi / Un strop / Ca cei din jur să bea şi să stea / În iubirea Ta. /  / Che"
007,O lume întreagă stă în nepăsare,D,6,007 O lume intreaga sta in nepasare.pptx,Unele sectiuni par repetate; verifica daca refrenul trebuie pastrat o singura data sau in structura completa.,"O lume întreagă stă în nepăsare / Şi caută adăpost când vine o-ncercare, / Dar eu nu mă tem, dar eu nu mă tem. / În ceasul cel bun e stăpână pe toate, / Când Domnul îi vorbeşte - i-e frică de moarte, / Dar eu nu mă tem, dar eu nu mă tem. /  / Dar eu nu mă tem, / Chiar dacă cei din jur mă părăsesc, / Dar eu nu mă tem orice-ar veni. / Viaţa mea / E-n mâna Celui ce-a murit pe lemn, / Cu mine Îl chem şi eu nu mă tem. /  / Ades’ vine-ncercarea năvalnic ca marea, / Şi norii negri grabnic întunecă zarea. / Dar eu nu mă tem, dar eu nu"
008,Suntem prin Domnul Isus,F,4,008 Suntem prin Domnul Isus.pptx,Unele sectiuni par repetate; verifica daca refrenul trebuie pastrat o singura data sau in structura completa.,"Suntem prin Domnul Isus popor de biruinţă, / Ne-a dat iertarea în sângele Lui, / Cântăm cu bucurie şi cu recunoştinţă, / Suntem pe veci copii ai Mielului. / Suntem chiar în ispite popor de biruinţă, / Dar chiar puţini noi unitari vom fi / Şi nu pe altă cale ci numai prin credinţă / Putea-vom pân’ la capăt birui. /  / /: Noi ştim că Domnul Isus vine Să ne ia la Sine, / Ştim că slava ne-o va da, / A Sa împărăţie, cununa vieţii vie, / Credinţa şi dragostea Sa. / În cer nu va mai fi tristeţe, lacrimi, bătrâneţe, / Cu Isus când"
009,"Ochii Domnului, plini de dragoste privesc",G,4,009 Ochii Domnului plini de dragoste privesc.pptx,Unele sectiuni par repetate; verifica daca refrenul trebuie pastrat o singura data sau in structura completa.,"Ochii Domnului, plini de dragoste privesc, / Inimile tuturor care nu-L cunosc. / Mâna Domnului întinsă e şi azi spre noi, / Întinde mâna ta şi tu, nu mai privi 'napoi. / Înapoi de mergi nu mai ai ce întâlni, / Doar viaţa plină de necaz. / Întoarce-te la Domnul azi! /  / Şopteşte: „Iartă-mă, ia vina mea!”, / Isus e lângă tine, vrea să intre-n viaţa ta. / Şopteşte: „Iartă-mă, ia vina mea!”, / Isus e lângă tine, vrea să intre-n viaţa ta. /  / Ochii Domnului, plini de dragoste privesc, / Inimile tuturor care nu-L cunosc. / Mâna "
